,gender,age,income,transaction_frequency,average_transaction_amount,click_rate,completion_rate,cluster,offer_received_A,offer_received_B,offer_received_C,offer_received_D,offer_received_E,offer_received_F,offer_received_G,offer_received_H,offer_received_I,offer_received_J,offer_viewed_A,offer_viewed_B,offer_viewed_C,offer_viewed_D,offer_viewed_E,offer_viewed_F,offer_viewed_G,offer_viewed_H,offer_viewed_I,offer_viewed_J,offer_completed_A,offer_completed_B,offer_completed_C,offer_completed_D,offer_completed_E,offer_completed_F,offer_completed_G,offer_completed_H,offer_completed_I,offer_completed_J
75,1.0,50,93000.0,12.0,24.77416666666667,1.0,0.8,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,2,0,0,1,1
76,1.0,90,98000.0,3.0,26.676666666666666,0.25,0.25,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,1.0,68,84000.0,2.0,17.02,0.0,0.2,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,0.0,60,64000.0,12.0,3.678333333333333,0.6666666666666666,0.3333333333333333,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
79,0.0,45,54000.0,6.0,1.9183333333333332,0.6,0.0,2,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.0,66,49000.0,18.0,11.162777777777778,0.8333333333333334,0.8333333333333334,2,0,1,1,0,0,2,0,0,1,1,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,1,1
81,1.0,19,73000.0,11.0,18.431818181818183,0.6,0.6,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0
82,1.0,66,58000.0,10.0,16.353,0.8,0.6,0,1,0,2,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
83,1.0,72,72000.0,12.0,16.826666666666668,0.8333333333333334,1.0,0,2,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,2,1,0,0,0,1,1,0,1,0
84,0.0,76,63000.0,13.0,17.28923076923077,1.0,0.8,1,0,0,1,0,1,0,2,0,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,2,0,1,0
85,0.0,52,78000.0,6.0,19.653333333333332,0.6,1.0,2,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2
86,0.0,55,31000.0,5.0,6.145999999999999,0.5,0.25,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,1.0,39,60000.0,12.0,58.791666666666664,1.0,0.75,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
88,1.0,45,44000.0,16.0,10.231874999999999,0.3333333333333333,0.8333333333333334,0,0,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1
89,1.0,57,114000.0,8.0,23.1025,0.8333333333333334,0.8333333333333334,0,1,1,1,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,2,0
90,0.0,74,48000.0,3.0,2.2866666666666666,0.3333333333333333,0.0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0.0,18,47000.0,22.0,12.527727272727274,0.6666666666666666,0.8333333333333334,2,1,1,0,0,0,2,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,2,1,0,0,1
92,0.0,53,96000.0,5.0,27.768,1.0,0.8,1,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,1,1
93,1.0,59,98000.0,4.0,28.01,0.3333333333333333,1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
94,0.0,57,46000.0,10.0,3.4219999999999997,0.75,0.25,2,0,1,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,1.0,51,56000.0,7.0,5.848571428571428,0.8,0.4,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0
96,1.0,64,37000.0,7.0,7.33857142857143,1.0,0.6,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
97,0.0,71,57000.0,12.0,2.5116666666666667,0.75,0.0,2,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
98,1.0,64,66000.0,4.0,12.587499999999999,1.0,0.5,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
99,0.0,83,46000.0,5.0,3.354,1.0,0.0,1,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
100,0.0,26,71000.0,4.0,3.4499999999999997,0.6,0.0,2,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,1.0,29,58000.0,12.0,2.5399999999999996,1.0,0.2,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
102,0.0,43,70000.0,1.0,2.03,0.75,0.0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,1.0,89,65000.0,7.0,17.83142857142857,1.0,0.75,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
104,1.0,49,79000.0,2.0,12.465,1.0,0.4,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
105,0.0,79,67000.0,18.0,17.61277777777778,0.75,0.75,1,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0
106,1.0,55,94000.0,8.0,24.418750000000003,1.0,0.6,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
107,0.0,55,66000.0,19.0,14.327894736842106,0.6,0.4,2,2,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
108,0.0,45,31000.0,5.0,3.2919999999999994,0.75,0.0,2,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
109,0.0,52,30000.0,5.0,1.9600000000000002,0.5,0.0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
110,0.0,39,55000.0,9.0,17.39333333333333,0.75,1.0,2,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0
111,0.0,77,69000.0,3.0,20.083333333333332,0.5,0.25,2,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
112,0.0,66,60000.0,6.0,5.1499999999999995,0.6,0.4,2,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
113,1.0,69,87000.0,2.0,26.605,1.0,0.5,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0
114,0.0,74,53000.0,4.0,13.7825,1.0,0.5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
115,1.0,75,87000.0,5.0,22.940000000000005,1.0,0.8,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1
116,1.0,59,85000.0,7.0,27.58571428571429,0.8333333333333334,0.6666666666666666,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1
117,0.0,47,66000.0,5.0,14.834,1.0,0.6666666666666666,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
118,0.0,20,69000.0,1.0,0.87,0.5,0.0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,0.0,60,108000.0,4.0,31.82,1.0,0.5,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
120,0.0,65,61000.0,6.0,4.0,0.4,0.6,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0
121,0.0,33,43000.0,8.0,2.4725,0.25,0.25,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
122,1.0,39,67000.0,11.0,51.16090909090908,1.0,0.2,0,0,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
123,0.0,49,59000.0,6.0,6.376666666666668,0.6666666666666666,0.3333333333333333,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
124,0.0,68,58000.0,2.0,8.595,1.0,0.0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
125,0.0,42,80000.0,3.0,17.913333333333338,1.0,0.3333333333333333,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
126,0.0,72,33000.0,5.0,1.6280000000000001,0.5,0.0,2,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
127,1.0,18,49000.0,10.0,3.0469999999999997,0.6,0.4,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
128,1.0,32,42000.0,7.0,10.17,0.5,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
129,0.0,67,50000.0,3.0,11.023333333333333,1.0,0.2,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
130,0.0,52,42000.0,3.0,1.8,0.4,0.0,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,0.0,38,64000.0,9.0,16.77111111111111,0.6666666666666666,1.0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
132,1.0,60,77000.0,5.0,21.381999999999998,0.8333333333333334,0.8333333333333334,0,1,1,0,0,0,1,2,0,0,1,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,2,0,0,1
133,1.0,62,77000.0,2.0,16.73,0.6,0.4,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
134,1.0,55,51000.0,2.0,12.95,1.0,0.25,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
135,0.0,22,63000.0,6.0,3.2999999999999994,1.0,0.0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
136,0.0,34,41000.0,11.0,10.764545454545454,0.5,0.75,2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
137,0.0,46,60000.0,26.0,4.06076923076923,0.8,0.6,1,1,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0
138,0.0,85,67000.0,5.0,4.436,0.6666666666666666,0.3333333333333333,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
