,gender,age,income,transaction_frequency,average_transaction_amount,click_rate,completion_rate,offer_received_A,offer_received_B,offer_received_C,offer_received_D,offer_received_E,offer_received_F,offer_received_G,offer_received_H,offer_received_I,offer_received_J,offer_viewed_A,offer_viewed_B,offer_viewed_C,offer_viewed_D,offer_viewed_E,offer_viewed_F,offer_viewed_G,offer_viewed_H,offer_viewed_I,offer_viewed_J,cluster_0,cluster_1,cluster_2
9213,1.0,0.40963855421686746,0.5333333333333333,0.19444444444444442,0.049055624642042356,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0
3355,0.0,0.08433734939759038,0.33333333333333337,0.38888888888888884,0.006703498729546973,0.6,0.4,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.2,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,1.0
2527,0.0,0.32530120481927716,0.30000000000000004,0.2222222222222222,0.0055070104325868835,1.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,1.0,0.0
2127,1.0,0.7951807228915664,0.30000000000000004,0.08333333333333333,0.04173034753139744,1.0,0.75,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0
9814,0.0,0.32530120481927716,0.6222222222222222,0.3333333333333333,0.04460613846619561,1.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.2,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.3333333333333333,0.25,0.25,0.0,0.0,0.25,0.0,1.0,0.0
2764,0.0,0.40963855421686746,0.5555555555555556,0.16666666666666666,0.041339033232182285,0.5,1.0,0.25,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0
10594,1.0,0.6385542168674699,0.47777777777777775,0.19444444444444442,0.04036654863952359,1.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,0.0,1.0,0.0,0.0
7346,0.0,0.4337349397590361,0.688888888888889,0.1388888888888889,0.0627904401178373,0.2,0.4,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10783,0.0,0.28915662650602414,0.6,0.3611111111111111,0.04964466503439193,1.0,0.6666666666666666,0.25,0.25,0.5,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13202,0.0,0.5903614457831325,0.09999999999999998,0.1388888888888889,0.007805612776042706,0.75,0.0,0.25,0.25,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0
6572,0.0,0.4337349397590361,0.7666666666666667,0.1388888888888889,0.042758101313487056,0.6,0.8,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8209,0.0,0.07228915662650606,0.3222222222222222,0.16666666666666666,0.011133999305970867,1.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.2,0.2,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.2,0.2,0.0,0.0,1.0,0.0
1981,1.0,0.6506024096385542,0.1111111111111111,0.08333333333333333,0.008055167932900674,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0
4764,0.0,0.32530120481927716,0.14444444444444443,0.16666666666666666,0.00634224496275131,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11600,1.0,0.3493975903614458,0.34444444444444444,0.3055555555555555,0.007593376787343164,0.5,0.3333333333333333,0.25,0.0,0.25,0.0,0.2,0.25,0.0,0.2,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,1.0,0.0,0.0
10820,0.0,0.6506024096385542,0.4111111111111111,0.2222222222222222,0.010269231621148692,1.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
13943,0.0,0.0963855421686747,0.3555555555555555,0.2222222222222222,0.007738609431412941,0.25,0.25,0.0,0.0,0.25,0.25,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0
4257,0.0,0.4457831325301205,0.3111111111111111,0.3055555555555555,0.0077443986009339185,0.8,0.4,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.25,0.0,0.0,1.0
2057,1.0,0.8674698795180724,0.011111111111111072,0.2222222222222222,0.007724765765167122,1.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,1.0,0.0,0.0
2974,0.0,0.3493975903614458,0.3222222222222222,0.027777777777777776,0.025915343212173567,0.75,0.0,0.0,0.25,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4454,1.0,0.3614457831325302,0.4666666666666667,0.2222222222222222,0.03765477218862826,0.6,0.4,0.0,0.5,0.25,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0
12528,0.0,0.49397590361445787,0.38888888888888884,0.16666666666666666,0.00677416734962087,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0
3646,1.0,0.27710843373493976,0.033333333333333326,0.5555555555555556,0.01947416218131881,0.8,0.6,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.4,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.25,1.0,0.0,0.0
11406,0.0,0.15662650602409642,0.4222222222222223,0.16666666666666666,0.008291433170162656,0.8333333333333334,0.16666666666666666,0.25,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.6000000000000001,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,1.0
4024,0.0,0.18072289156626506,0.15555555555555556,0.2777777777777778,0.0050811792588654845,0.6,0.0,0.25,0.0,0.0,0.0,0.2,0.0,0.25,0.2,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,1.0
5493,1.0,0.6265060240963856,0.23333333333333328,0.2222222222222222,0.028645314195849116,0.75,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0
3891,1.0,0.8433734939759037,0.28888888888888886,0.41666666666666663,0.006615426643335476,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0
7895,1.0,0.5662650602409639,0.23333333333333328,0.6666666666666666,0.027788852710774435,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.2,0.25,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.2,0.2,0.0,1.0,0.0,0.0
8410,1.0,0.4819277108433735,0.48888888888888893,0.19444444444444442,0.04437883865088331,0.4,0.6,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,1.0,0.0,0.0
13684,0.0,0.42168674698795183,0.011111111111111072,0.41666666666666663,0.01582977089655274,1.0,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.0,1.0,0.0
11523,0.0,0.5180722891566265,0.033333333333333326,0.19444444444444442,0.016950976018023665,0.6,0.2,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0
4676,1.0,0.7469879518072289,0.24444444444444446,0.16666666666666666,0.02885020045628724,0.75,1.0,0.0,0.25,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1710,0.0,0.2650602409638554,0.6555555555555556,0.16666666666666666,0.04645565227663706,1.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,0.0
4153,1.0,0.5060240963855421,0.6777777777777777,0.05555555555555555,0.05226260881121669,0.6,0.2,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0
6167,0.0,0.5060240963855421,0.28888888888888886,0.4722222222222222,0.005628671828888376,0.75,0.5,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0
6338,0.0,0.22891566265060245,0.0222222222222222,0.2777777777777778,0.004489777836844088,0.8,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,1.0
562,0.0,0.6385542168674699,0.2777777777777778,0.1388888888888889,0.006826588699138371,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,1.0
3774,1.0,0.16867469879518074,0.23333333333333328,0.38888888888888884,0.024385420325349887,0.8,0.2,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0
13282,0.0,0.15662650602409642,0.1333333333333333,0.41666666666666663,0.006196055847195458,0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.0,1.0
640,0.0,0.0,0.06666666666666665,0.2777777777777778,0.023204199614592337,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0
1669,0.0,0.5542168674698795,0.07777777777777778,0.41666666666666663,0.01696679735087603,0.5,0.16666666666666666,0.0,0.5,0.5,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0
7759,1.0,0.22891566265060245,0.5333333333333333,0.1388888888888889,0.04796331982191509,1.0,1.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.2,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.2,0.0,0.0,1.0,0.0
13049,1.0,0.6024096385542169,0.7111111111111111,0.2222222222222222,0.054596650940261816,0.5,0.75,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8188,1.0,0.7228915662650602,0.5777777777777778,0.08333333333333333,0.049017653443196675,1.0,0.4,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.0,0.0,1.0,0.0,0.0
2407,0.0,0.6867469879518072,0.33333333333333337,0.08333333333333333,0.005279051395072394,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.2,0.0,0.0,0.0,1.0
12246,0.0,0.5662650602409639,0.48888888888888893,0.1388888888888889,0.06127981925709351,1.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.2,0.0,0.0,0.0,1.0,0.0
14265,0.0,0.7228915662650602,0.5777777777777778,0.25,0.052468110345710195,0.75,0.75,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,1.0,0.0
7436,0.0,0.40963855421686746,0.47777777777777775,0.2222222222222222,0.03849923582962324,1.0,0.6,0.0,0.0,0.25,0.0,0.2,0.0,0.25,0.2,0.2,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.25,0.2,0.2,0.0,0.0,1.0,0.0
11625,0.0,0.5662650602409639,0.04444444444444445,0.3333333333333333,0.005703590493277517,0.8333333333333334,0.16666666666666666,0.0,0.25,0.25,0.0,0.2,0.0,0.25,0.4,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,1.0
11360,0.0,0.3975903614457831,0.47777777777777775,0.16666666666666666,0.007907502159611935,0.75,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0
13481,0.0,0.27710843373493976,0.4222222222222223,0.7222222222222222,0.009500588675284671,0.8,0.4,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0
2910,0.0,0.7590361445783133,0.5111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.2,0.0,0.0,1.0,0.0
11845,1.0,0.40963855421686746,0.25555555555555554,0.5277777777777778,0.032177926376177,0.4,0.6,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0
9693,0.0,0.45783132530120485,0.24444444444444446,0.1111111111111111,0.007724765765167121,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12564,0.0,0.10843373493975902,0.3555555555555555,0.25,0.040738525754141414,0.8,1.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0
6749,0.0,0.0,0.24444444444444446,0.19444444444444442,0.005391910236085929,0.6,0.2,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0
10460,1.0,0.3855421686746988,0.7666666666666667,0.1111111111111111,0.06110594280904601,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.25,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
6137,0.0,0.24096385542168677,0.4111111111111111,0.4722222222222222,0.04083262649202148,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.2,0.2,0.0,0.0,0.0,1.0
2928,0.0,0.19277108433734944,0.15555555555555556,0.3055555555555555,0.00596234120056301,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4098,1.0,0.7951807228915664,0.6444444444444445,0.19444444444444442,0.055314543918437875,0.4,0.8,0.0,0.25,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3069,1.0,0.3493975903614458,0.2222222222222222,0.05555555555555555,0.03689060181185905,1.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0
180,0.0,0.8674698795180724,0.16666666666666663,0.1388888888888889,0.0047666511617604716,0.5,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
14532,1.0,0.49397590361445787,0.16666666666666663,0.3055555555555555,0.024590378500937347,0.8333333333333334,0.8333333333333334,0.5,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9674,1.0,0.49397590361445787,0.7666666666666667,0.1388888888888889,0.06644516800673357,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.2,0.0,1.0,0.0,0.0
2218,0.0,0.012048192771084348,0.3555555555555555,0.19444444444444442,0.03857557376063589,0.8,0.6,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.25,0.0,0.0,1.0
13380,0.0,0.6024096385542169,0.8666666666666666,0.1111111111111111,0.06141604093295236,0.6,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.25,0.0,0.0,1.0
1955,0.0,0.5662650602409639,0.28888888888888886,0.16666666666666666,0.02544650438198183,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0
1057,1.0,0.6144578313253012,0.4111111111111111,0.19444444444444442,0.03570558398121692,1.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
11684,1.0,0.3493975903614458,0.2666666666666666,0.3055555555555555,0.029596248215425575,1.0,0.6666666666666666,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0
11715,0.0,0.45783132530120485,0.6444444444444445,0.1111111111111111,0.056404633751965805,1.0,0.8,0.25,0.0,0.25,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4105,0.0,0.7590361445783133,0.3555555555555555,0.1388888888888889,0.013312069461979756,0.8,0.2,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.0,1.0
1399,1.0,0.710843373493976,0.9,0.08333333333333333,0.062846553111687,1.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
10418,0.0,0.5180722891566265,0.24444444444444446,0.08333333333333333,0.0156008889479552,0.4,0.2,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6072,0.0,0.060240963855421686,0.15555555555555556,0.16666666666666666,0.00395005943547375,0.8333333333333334,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.2,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.2,0.2,0.0,0.0,0.0,1.0
14155,0.0,0.5421686746987951,0.18888888888888888,0.3611111111111111,0.00660577157354352,0.6666666666666666,0.5,0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.2,0.0,0.0,0.0,1.0
11831,1.0,0.2650602409638554,0.25555555555555554,0.5,0.026049472956244178,1.0,0.8,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.25,1.0,0.0,0.0
9445,1.0,0.927710843373494,0.15555555555555556,0.19444444444444442,0.006331697407516398,0.6666666666666666,0.3333333333333333,0.25,0.0,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
7887,1.0,0.3012048192771084,0.4222222222222223,0.2777777777777778,0.037094380578997506,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.2,0.0,1.0,0.0,0.0
5168,1.0,0.3855421686746988,0.25555555555555554,0.5833333333333333,0.006367559095315093,0.8,0.6,0.25,0.0,0.0,0.0,0.2,0.0,0.25,0.2,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.2,0.0,1.0,0.0,0.0
6803,1.0,0.3614457831325302,0.011111111111111072,0.1111111111111111,0.005974926351695572,0.5,0.0,0.0,0.25,0.25,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0
11478,0.0,0.28915662650602414,0.48888888888888893,0.1111111111111111,0.05858085808580858,1.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1210,1.0,0.7710843373493976,0.7666666666666667,0.2777777777777778,0.05555186391122334,1.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.2,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.2,0.0,0.25,1.0,0.0,0.0
8351,1.0,0.27710843373493976,0.4111111111111111,0.05555555555555555,0.03300330033003301,0.75,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7464,0.0,0.28915662650602414,0.33333333333333337,0.1388888888888889,0.03060225485635812,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.0,1.0
